alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.81	1.86	0.585	11.0	20.0	472.0	3.0	1.0	0	-0.0
3.936	7.343	0.353	83.0	30.0	256.0	3.0	0.0	8	-0.0
3.936	5.909	0.353	21.0	30.0	286.0	3.0	0.0	7	-0.0
1.087	4.332	0.933	78.0	36.0	749.0	3.0	1.0	7	-0.0
7.659	8.236	0.65	59.0	40.0	223.0	3.0	1.0	4	-0.0
4.391	5.909	0.353	83.0	30.0	719.0	3.0	1.0	4	-0.0
6.457	2.079	0.854	90.0	47.0	263.0	2.0	1.0	4	-0.0
6.457	6.084	0.738	90.0	47.0	263.0	3.0	1.0	4	-0.0
2.904	6.905	0.879	35.0	41.0	98.0	3.0	1.0	1	-0.0
7.659	8.236	0.65	59.0	10.0	223.0	3.0	1.0	0	-0.0
7.659	8.236	0.65	59.0	10.0	636.0	3.0	1.0	8	-0.0
4.391	5.909	0.591	83.0	30.0	719.0	3.0	1.0	7	-0.0
9.236	1.173	0.465	47.0	23.0	69.0	2.0	0.0	8	-0.0
6.457	6.084	0.738	90.0	47.0	263.0	3.0	0.0	6	-0.0
9.708	5.909	0.353	83.0	30.0	441.0	3.0	1.0	6	-0.0
1.087	1.255	0.583	78.0	36.0	749.0	3.0	1.0	5	-0.0
8.891	7.66	0.926	42.0	33.0	132.0	3.0	1.0	5	-0.0
1.087	3.012	0.933	78.0	36.0	749.0	3.0	1.0	4	-0.0
1.81	5.158	0.585	59.0	13.0	472.0	3.0	1.0	3	-0.0
6.457	8.329	0.854	90.0	47.0	263.0	2.0	1.0	3	-0.0
9.236	1.173	0.465	87.0	25.0	69.0	2.0	0.0	2	-0.0
4.816	3.209	0.898	84.0	9.0	484.0	3.0	1.0	1	-0.0
3.936	5.909	0.353	83.0	30.0	719.0	3.0	0.0	1	-0.0
6.457	6.084	0.738	86.0	47.0	263.0	3.0	1.0	7	-0.0
8.891	2.241	0.697	50.0	33.0	6.0	3.0	1.0	7	-0.0
