alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
4.092	8.624	0.468	62.0	20.0	729.0	3.0	1.0	6	0.0911803
1.874	7.927	0.664	41.0	24.0	615.0	3.0	0.0	4	0.0999254
1.716	5.171	0.664	61.0	7.0	399.0	3.0	0.0	4	0.127603
1.716	6.447	0.697	54.0	14.0	402.0	3.0	0.0	6	0.12982069999999998
5.01	6.021	0.511	79.0	26.0	606.0	3.0	0.0	3	0.1393533
8.654	6.365	0.265	46.0	14.0	331.0	3.0	1.0	3	0.1674136
5.01	6.021	0.511	84.0	26.0	606.0	3.0	0.0	2	0.16835740000000002
5.583	9.922	0.357	73.0	20.0	543.0	3.0	0.0	5	0.1745744
5.198	6.447	0.664	41.0	26.0	399.0	3.0	0.0	2	0.1796595
5.01	6.021	0.511	84.0	26.0	451.0	3.0	0.0	6	0.1962315
5.583	8.624	0.51	45.0	20.0	155.0	3.0	0.0	2	0.206551
1.716	2.858	0.664	63.0	7.0	399.0	3.0	0.0	6	0.22881680000000001
4.019	7.201	0.981	90.0	45.0	256.0	3.0	0.0	5	0.23413340000000002
5.583	8.624	0.51	62.0	20.0	155.0	3.0	1.0	0	0.2394637
2.951	7.201	0.2	76.0	15.0	256.0	3.0	0.0	6	0.2448303
1.716	5.171	0.396	61.0	7.0	399.0	3.0	0.0	6	0.24938529999999998
1.874	7.927	0.664	41.0	24.0	352.0	3.0	0.0	5	0.2604378
5.583	8.624	0.51	62.0	20.0	155.0	3.0	0.0	1	0.26739419999999997
2.951	7.201	0.981	76.0	15.0	256.0	3.0	0.0	5	0.27684220000000004
4.092	8.624	0.51	62.0	20.0	729.0	3.0	1.0	5	0.2926705
1.716	6.447	0.664	64.0	7.0	399.0	3.0	0.0	5	0.2976695
2.469	6.021	0.577	41.0	15.0	606.0	3.0	0.0	5	0.326002
5.583	4.905	0.727	75.0	33.0	155.0	3.0	0.0	5	0.36105030000000005
1.716	6.447	0.664	61.0	7.0	399.0	3.0	0.0	2	0.3919926
1.418	5.431	0.913	9.0	32.0	575.0	3.0	1.0	1	0.5436101
