alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
4.546	5.951	0.23	58.0	14.0	52.0	3.0	1.0	1	0.04729711111111111
2.958	4.726	0.138	85.0	12.0	125.0	3.0	1.0	6	0.08585155555555554
9.275	8.916	0.247	63.0	25.0	235.0	3.0	1.0	6	0.1280318888888889
5.396	8.122	0.964	77.0	34.0	223.0	3.0	1.0	6	0.14490133333333333
5.396	8.122	0.964	77.0	30.0	223.0	3.0	1.0	4	0.14922522222222223
2.657	5.951	0.23	34.0	14.0	52.0	3.0	1.0	5	0.16426344444444443
2.657	5.951	0.381	34.0	14.0	52.0	3.0	1.0	6	0.1932892222222222
3.949	2.666	0.746	93.0	10.0	130.0	3.0	0.0	5	0.19533933333333336
2.657	5.951	0.428	34.0	14.0	52.0	3.0	1.0	7	0.196023
2.657	5.951	0.681	34.0	14.0	52.0	3.0	1.0	7	0.2551725555555555
8.261	8.916	0.247	63.0	27.0	235.0	3.0	1.0	5	0.28500966666666666
3.949	7.546	0.746	93.0	19.0	130.0	2.0	0.0	3	0.29628388888888885
5.396	8.916	0.247	63.0	25.0	235.0	3.0	1.0	3	0.3254188888888889
8.837	3.901	0.964	54.0	22.0	464.0	3.0	1.0	5	0.3270867777777778
8.261	8.916	0.639	63.0	25.0	235.0	3.0	1.0	6	0.34311733333333333
2.615	7.638	0.385	93.0	19.0	505.0	2.0	0.0	7	0.3832406666666667
2.261	2.768	0.936	85.0	45.0	448.0	3.0	1.0	7	0.39516422222222225
5.396	8.122	0.964	87.0	26.0	296.0	3.0	0.0	7	0.41198066666666666
5.396	8.122	0.964	63.0	13.0	223.0	3.0	1.0	1	0.43000055555555555
6.734	1.587	0.793	58.0	27.0	349.0	3.0	1.0	5	0.4342343333333334
8.261	8.916	0.247	30.0	25.0	235.0	3.0	1.0	7	0.4830793333333333
5.396	3.339	0.964	63.0	26.0	223.0	3.0	1.0	3	0.5369481111111111
5.863	4.726	0.206	85.0	12.0	160.0	3.0	0.0	5	0.5640674444444445
9.817	8.918	0.864	85.0	45.0	213.0	3.0	1.0	4	0.6091006666666667
8.261	8.916	0.247	63.0	25.0	235.0	3.0	1.0	4	0.681119
