alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
2.587	4.579	0.701	90.0	21.0	37.0	3.0	0.0	2	-0.0
5.242	8.336	0.539	69.0	20.0	198.0	3.0	1.0	5	-0.0
1.576	5.878	0.654	74.0	23.0	163.0	2.0	1.0	6	-0.0
4.612	7.555	0.16	71.0	23.0	163.0	3.0	1.0	6	0.0115912
1.576	5.878	0.778	71.0	23.0	163.0	3.0	1.0	2	0.013725399999999999
1.541	1.408	0.778	90.0	42.0	163.0	3.0	0.0	6	0.0270966
1.576	5.878	0.365	71.0	23.0	163.0	3.0	1.0	3	0.031974
1.576	1.408	0.778	71.0	23.0	163.0	3.0	1.0	1	0.0455686
1.578	1.408	0.778	71.0	5.0	163.0	3.0	1.0	4	0.0643382
8.682	6.349	0.338	80.0	42.0	54.0	3.0	1.0	6	0.12603140000000002
6.258	9.059	0.338	59.0	42.0	54.0	3.0	1.0	5	0.149878
8.656	8.336	0.539	55.0	20.0	198.0	3.0	1.0	0	0.2155238
8.682	9.059	0.338	59.0	42.0	54.0	3.0	1.0	3	0.23091499999999998
1.211	1.408	0.778	91.0	23.0	122.0	3.0	1.0	4	0.23391199999999998
7.45	9.059	0.338	59.0	47.0	54.0	3.0	1.0	7	0.2665852
7.122	2.957	0.375	84.0	30.0	227.0	3.0	1.0	2	0.27130160000000003
1.576	8.336	0.778	91.0	23.0	749.0	3.0	1.0	7	0.2749908
2.587	4.579	0.701	90.0	12.0	37.0	3.0	0.0	4	0.2884564
8.682	9.059	0.886	59.0	42.0	54.0	3.0	1.0	7	0.2950792
1.576	5.878	0.193	71.0	23.0	163.0	3.0	1.0	7	0.2961486
1.211	1.408	0.778	91.0	42.0	122.0	3.0	1.0	7	0.29670260000000004
4.612	2.076	0.16	71.0	23.0	163.0	3.0	1.0	7	0.2971356
1.576	1.408	0.778	91.0	23.0	163.0	3.0	1.0	3	0.2971834
1.576	5.878	0.332	23.0	45.0	163.0	3.0	1.0	7	0.30125419999999997
1.576	4.006	0.689	71.0	10.0	163.0	3.0	0.0	4	0.3314652
