alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
8.456	8.976	0.454	70.0	42.0	103.0	3.0	1.0	5	0.0006793999999999999
1.403	6.845	0.166	73.0	26.0	739.0	3.0	1.0	6	0.0183742
2.059	1.276	0.434	57.0	14.0	46.0	3.0	1.0	6	0.026006
2.059	1.276	0.434	57.0	33.0	46.0	3.0	1.0	7	0.0376586
2.059	8.885	0.537	57.0	14.0	229.0	3.0	1.0	7	0.0478672
2.059	5.308	0.744	57.0	14.0	229.0	3.0	1.0	0	0.0757096
7.306	8.976	0.454	70.0	42.0	103.0	3.0	1.0	0	0.091835
1.94	6.214	0.33	45.0	18.0	590.0	3.0	1.0	1	0.15497060000000001
2.515	3.151	0.395	88.0	33.0	103.0	3.0	1.0	6	0.16230819999999999
4.288	9.093	0.377	73.0	13.0	567.0	3.0	1.0	5	0.16513640000000002
2.563	5.707	0.836	64.0	16.0	99.0	3.0	1.0	3	0.17934920000000001
3.214	8.556	0.109	49.0	45.0	279.0	3.0	1.0	5	0.1851828
6.117	4.257	0.612	32.0	18.0	590.0	3.0	1.0	5	0.218077
2.563	5.707	0.836	64.0	26.0	99.0	3.0	1.0	5	0.219366
2.22	6.494	0.258	58.0	38.0	625.0	3.0	1.0	6	0.2310782
3.451	3.151	0.395	88.0	33.0	103.0	3.0	1.0	3	0.23787039999999998
1.727	3.381	0.25	14.0	23.0	657.0	3.0	1.0	4	0.2489846
3.451	3.151	0.133	88.0	33.0	103.0	3.0	1.0	7	0.2510024
1.94	8.533	0.33	45.0	18.0	590.0	3.0	1.0	2	0.2571286
1.94	4.585	0.212	45.0	18.0	201.0	3.0	1.0	7	0.2597936
5.848	4.257	0.612	32.0	49.0	590.0	3.0	1.0	6	0.2904076
6.126	6.494	0.258	58.0	38.0	625.0	3.0	1.0	5	0.2925462
3.214	8.556	0.382	36.0	45.0	279.0	3.0	1.0	2	0.29411240000000005
2.059	1.105	0.434	57.0	14.0	46.0	3.0	1.0	5	0.29834179999999993
2.059	8.885	0.744	57.0	14.0	229.0	3.0	1.0	2	0.44029580000000007
