alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
6.96	8.565	0.416	98.0	17.0	90.0	3.0	0.0	4	-0.0
1.374	8.565	0.416	98.0	17.0	560.0	3.0	0.0	6	-0.0
7.782	6.439	0.701	58.0	7.0	377.0	3.0	1.0	6	0.0173542
1.823	3.069	0.731	50.0	43.0	498.0	3.0	0.0	3	0.018901599999999998
7.782	6.439	0.701	60.0	7.0	377.0	3.0	1.0	3	0.10738859999999999
1.361	2.01	0.464	45.0	16.0	114.0	3.0	1.0	6	0.1139162
4.847	2.444	0.131	21.0	27.0	691.0	2.0	0.0	0	0.1363572
1.361	2.01	0.464	80.0	16.0	114.0	3.0	1.0	5	0.1429138
7.887	7.488	0.222	20.0	46.0	672.0	3.0	1.0	3	0.1648312
5.513	8.678	0.648	55.0	33.0	698.0	3.0	0.0	4	0.16975780000000001
9.923	7.047	0.464	80.0	16.0	114.0	3.0	1.0	2	0.19338480000000002
7.887	7.488	0.213	26.0	11.0	537.0	3.0	1.0	4	0.2116342
1.374	8.565	0.416	98.0	17.0	560.0	3.0	1.0	7	0.225852
9.923	7.047	0.464	80.0	10.0	114.0	3.0	0.0	5	0.23315860000000002
3.259	6.953	0.972	40.0	12.0	665.0	3.0	1.0	2	0.2515896
2.491	6.439	0.842	67.0	37.0	426.0	3.0	1.0	5	0.2641578
5.513	7.252	0.648	54.0	17.0	139.0	3.0	0.0	6	0.28443640000000003
7.782	6.439	0.701	60.0	37.0	377.0	3.0	1.0	1	0.3103768
6.96	8.565	0.416	98.0	17.0	175.0	3.0	0.0	5	0.335927
9.923	9.733	0.464	65.0	44.0	114.0	3.0	0.0	7	0.3362496
9.923	6.487	0.441	47.0	16.0	394.0	3.0	0.0	7	0.34342079999999997
9.923	7.047	0.464	47.0	16.0	114.0	3.0	0.0	4	0.3535638
4.598	8.565	0.416	98.0	31.0	560.0	3.0	0.0	7	0.4659414
1.402	9.949	0.538	15.0	32.0	23.0	3.0	1.0	2	0.5028526
6.96	8.565	0.416	98.0	17.0	560.0	3.0	0.0	2	0.5413812
