alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
9.206	2.095	0.137	48.0	27.0	44.0	3.0	1.0	7	-0.0
1.473	5.241	0.538	64.0	41.0	450.0	3.0	0.0	7	0.012909
1.275	6.121	0.392	53.0	41.0	276.0	3.0	0.0	4	0.0229442
4.12	5.241	0.538	64.0	48.0	225.0	3.0	1.0	7	0.0273486
1.473	4.61	0.722	64.0	28.0	475.0	3.0	1.0	0	0.036074800000000004
9.959	4.61	0.722	64.0	28.0	475.0	3.0	1.0	7	0.08798500000000001
1.473	5.241	0.708	91.0	28.0	475.0	3.0	1.0	7	0.0886762
4.44	1.024	0.222	48.0	30.0	401.0	3.0	1.0	3	0.10265559999999999
7.727	1.923	0.86	94.0	36.0	161.0	3.0	1.0	3	0.11003479999999999
2.047	2.992	0.474	41.0	25.0	203.0	3.0	1.0	4	0.1403914
6.309	2.095	0.137	39.0	27.0	44.0	3.0	1.0	7	0.1613502
5.604	2.949	0.137	70.0	27.0	44.0	3.0	1.0	4	0.1655836
5.604	2.949	0.916	70.0	27.0	203.0	3.0	1.0	6	0.1838718
6.727	1.645	0.719	59.0	37.0	11.0	3.0	0.0	4	0.18518079999999998
1.473	4.61	0.722	91.0	28.0	475.0	3.0	1.0	6	0.19653939999999998
2.047	2.992	0.304	41.0	25.0	203.0	3.0	1.0	7	0.20037540000000004
5.604	2.095	0.137	70.0	27.0	41.0	3.0	1.0	5	0.21765280000000004
1.473	5.241	0.538	64.0	41.0	450.0	3.0	1.0	3	0.2372522
9.204	8.193	0.328	60.0	34.0	254.0	3.0	0.0	3	0.241999
9.47	1.024	0.354	48.0	30.0	401.0	3.0	1.0	2	0.26045419999999997
1.473	5.241	0.138	64.0	28.0	475.0	3.0	1.0	4	0.2734336
5.604	2.095	0.137	99.0	27.0	44.0	3.0	0.0	4	0.3090778
4.586	5.241	0.538	64.0	41.0	225.0	3.0	1.0	6	0.3662404
6.309	5.161	0.137	89.0	27.0	589.0	3.0	1.0	6	0.40627460000000004
7.727	1.889	0.86	94.0	44.0	161.0	3.0	1.0	4	0.5540232
