alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
4.825	5.975	0.957	85.0	9.0	332.0	3.0	0.0	4	0.039561
2.841	5.388	0.193	94.0	27.0	698.0	3.0	1.0	0	0.05580219999999999
2.093	1.334	0.118	86.0	27.0	293.0	3.0	1.0	7	0.0668098
2.841	3.086	0.833	94.0	38.0	698.0	3.0	1.0	7	0.0679242
5.333	7.36	0.142	81.0	34.0	221.0	3.0	0.0	3	0.07755680000000001
2.841	8.282	0.193	94.0	27.0	635.0	3.0	1.0	6	0.09507399999999999
1.425	4.215	0.652	52.0	42.0	327.0	3.0	0.0	1	0.1063688
4.825	5.975	0.639	83.0	26.0	517.0	3.0	1.0	6	0.1244548
2.841	5.388	0.193	94.0	27.0	401.0	3.0	1.0	6	0.12854680000000002
1.018	1.056	0.571	77.0	10.0	168.0	3.0	0.0	3	0.1361946
9.081	3.319	0.421	56.0	38.0	392.0	3.0	1.0	3	0.136256
4.825	9.273	0.365	83.0	26.0	517.0	3.0	0.0	5	0.15523179999999998
2.883	8.344	0.737	73.0	31.0	206.0	3.0	1.0	6	0.1823526
7.611	4.215	0.652	52.0	42.0	82.0	3.0	1.0	4	0.1939148
4.188	4.558	0.627	45.0	44.0	739.0	3.0	0.0	3	0.2562584
4.825	5.975	0.639	83.0	26.0	355.0	3.0	1.0	7	0.26810799999999996
9.387	4.215	0.652	52.0	42.0	82.0	3.0	1.0	5	0.2789352
4.825	5.975	0.639	83.0	26.0	517.0	3.0	0.0	2	0.282098
4.825	2.801	0.332	85.0	42.0	332.0	3.0	1.0	7	0.36959099999999995
9.816	7.79	0.241	69.0	19.0	88.0	2.0	1.0	5	0.4304781999999999
2.841	5.388	0.193	94.0	27.0	635.0	3.0	1.0	3	0.4346716
1.018	1.056	0.571	77.0	10.0	168.0	3.0	1.0	5	0.4799278
9.365	3.319	0.421	73.0	38.0	497.0	3.0	1.0	6	0.4918926
1.018	6.19	0.704	77.0	10.0	168.0	3.0	0.0	2	0.5420856
5.155	1.461	0.909	26.0	49.0	37.0	2.0	1.0	2	0.6149804
