alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.099	6.381	0.955	82.0	32.0	332.0	3.0	0.0	7	-0.0
2.63	6.381	0.585	82.0	11.0	332.0	3.0	0.0	3	-0.0
1.998	6.782	0.85	92.0	36.0	94.0	3.0	1.0	7	0.047244
2.63	6.986	0.585	82.0	11.0	365.0	3.0	0.0	6	0.0534566
9.985	5.2	0.127	57.0	37.0	275.0	3.0	1.0	4	0.11500840000000001
3.348	8.915	0.979	56.0	18.0	5.0	3.0	0.0	0	0.12044079999999999
2.63	6.381	0.955	82.0	11.0	332.0	3.0	0.0	5	0.1574578
2.63	5.9	0.815	82.0	11.0	332.0	3.0	1.0	2	0.1770932
2.63	6.381	0.595	82.0	31.0	374.0	3.0	1.0	7	0.20066260000000002
3.69	3.769	0.389	71.0	21.0	310.0	3.0	1.0	4	0.2023294
3.691	5.504	0.351	91.0	30.0	241.0	3.0	1.0	7	0.2036844
5.328	6.287	0.565	24.0	38.0	513.0	3.0	1.0	2	0.2119672
7.353	8.118	0.6	100.0	17.0	539.0	3.0	1.0	5	0.25932140000000004
7.87	2.534	0.107	100.0	45.0	683.0	3.0	1.0	7	0.2647694
5.483	2.904	0.308	10.0	18.0	5.0	3.0	1.0	1	0.2663678
1.998	5.262	0.85	92.0	36.0	94.0	3.0	1.0	4	0.30651360000000005
2.63	5.9	0.654	60.0	20.0	138.0	3.0	1.0	6	0.307751
1.441	1.727	0.6	29.0	26.0	237.0	3.0	1.0	1	0.3212078
4.39	9.123	0.962	60.0	13.0	89.0	3.0	0.0	2	0.32338100000000003
4.891	7.046	0.127	61.0	49.0	337.0	3.0	1.0	7	0.33840820000000005
7.706	4.184	0.2	29.0	25.0	58.0	3.0	1.0	4	0.35483980000000004
3.348	8.915	0.152	56.0	10.0	5.0	3.0	0.0	2	0.4313294
4.197	8.419	0.565	24.0	50.0	513.0	3.0	1.0	5	0.4521204
4.889	1.727	0.6	29.0	26.0	237.0	3.0	1.0	7	0.5607114
2.63	6.381	0.442	82.0	11.0	332.0	3.0	0.0	0	0.648409
