p_c	p_m	N	c_0	Step_Found	VALUE
0.334	0.102	25.0	1.0	0	36.6
0.45	0.616	27.0	2.0	4	37.8
0.514	0.72	45.0	2.0	7	39.0
0.953	0.503	9.0	2.0	0	46.8
0.006	0.391	17.0	2.0	0	62.6
0.953	0.503	13.0	2.0	7	68.0
0.462	0.371	20.0	2.0	3	69.6
0.889	0.079	23.0	2.0	7	71.0
0.789	0.376	12.0	1.0	4	73.0
0.012	0.217	13.0	1.0	2	76.0
0.784	0.324	33.0	2.0	6	91.2
0.114	0.299	30.0	2.0	4	98.6
0.45	0.59	10.0	1.0	5	101.4
0.948	0.346	5.0	2.0	2	109.2
0.573	0.451	28.0	1.0	0	110.8
0.43	0.804	43.0	1.0	3	139.0
0.358	0.102	29.0	1.0	7	191.0
0.863	0.558	46.0	2.0	2	195.0
0.005	0.614	12.0	1.0	6	213.4
0.552	0.647	21.0	2.0	6	228.2
0.45	0.24	18.0	2.0	3	232.8
0.462	0.643	40.0	1.0	6	276.4
0.295	0.355	43.0	1.0	4	280.6
0.02	0.719	43.0	1.0	7	320.6
0.068	0.355	43.0	1.0	0	345.8
