p_c	p_m	N	c_0	Step_Found	VALUE
0.441	0.357	14.0	1.0	7	20.0
0.604	0.093	47.0	1.0	3	37.2
0.013	0.319	3.0	1.0	2	38.4
0.671	0.086	16.0	2.0	7	39.0
0.687	0.086	16.0	2.0	1	40.0
0.3	0.934	7.0	1.0	9	42.4
0.013	0.319	20.0	1.0	5	48.8
0.27	0.708	18.0	2.0	4	50.2
0.441	0.433	14.0	2.0	0	62.8
0.681	0.808	40.0	2.0	3	63.4
0.399	0.383	40.0	1.0	4	66.4
0.503	0.668	10.0	1.0	2	66.6
0.687	0.086	35.0	2.0	9	85.8
0.934	0.383	16.0	1.0	3	87.0
0.013	0.802	20.0	1.0	6	101.2
0.463	0.77	22.0	1.0	6	108.6
0.071	0.383	40.0	1.0	5	133.6
0.503	0.743	20.0	1.0	9	154.4
0.013	0.934	24.0	1.0	8	164.2
0.782	0.704	14.0	2.0	5	179.4
0.934	0.383	40.0	1.0	0	283.6
0.27	0.708	35.0	2.0	3	324.0
