p_c	p_m	N	c_0	Step_Found	VALUE
0.667	0.943	19.0	2.0	5	20.4
0.542	0.829	1.0	1.0	15	47.6
0.542	0.651	1.0	1.0	8	54.6
0.281	0.646	14.0	2.0	6	60.2
0.662	0.222	37.0	2.0	18	66.8
0.542	0.684	10.0	1.0	10	74.4
0.662	0.222	37.0	1.0	6	75.8
0.298	0.896	36.0	1.0	15	89.6
0.892	0.473	37.0	2.0	19	91.0
0.542	0.79	1.0	2.0	2	146.2
