p_c	p_m	N	c_0	Step_Found	VALUE
0.392	0.638	50.0	1.0	5	10.2
0.222	0.125	22.0	2.0	4	12.4
0.198	0.766	29.0	1.0	9	42.8
0.757	0.828	22.0	2.0	0	46.4
0.647	0.764	37.0	2.0	5	50.0
0.803	0.279	35.0	1.0	1	52.8
0.647	0.795	37.0	2.0	9	57.2
0.803	0.279	10.0	2.0	6	61.0
0.227	0.149	21.0	1.0	5	61.2
0.436	0.149	41.0	1.0	1	79.4
0.85	0.547	3.0	1.0	8	80.2
0.198	0.766	42.0	1.0	8	80.8
0.333	0.244	15.0	1.0	5	83.6
0.333	0.244	2.0	1.0	4	87.4
0.222	0.366	22.0	2.0	4	93.2
0.222	0.366	23.0	2.0	0	153.4
0.222	0.366	13.0	2.0	9	221.0
0.803	0.279	35.0	2.0	4	239.6
0.222	0.049	46.0	2.0	3	318.2
0.757	0.828	4.0	2.0	8	327.0
