p_c	p_m	N	c_0	Step_Found	VALUE
0.762	0.602	10.0	2.0	11	19.8
0.332	0.145	20.0	2.0	2	27.0
0.144	0.109	23.0	1.0	6	30.2
0.073	0.464	37.0	1.0	11	35.6
0.5	0.935	19.0	2.0	0	42.8
0.5	0.13	19.0	2.0	6	45.4
0.834	0.181	11.0	1.0	10	51.8
0.17	0.316	43.0	1.0	9	63.2
0.149	0.823	23.0	1.0	0	65.8
0.812	0.464	43.0	1.0	8	67.0
0.174	0.602	35.0	2.0	1	74.4
0.5	0.58	19.0	2.0	10	82.6
0.174	0.602	20.0	2.0	10	86.0
0.329	0.823	7.0	2.0	7	93.6
0.329	0.823	14.0	2.0	11	96.0
0.094	0.715	20.0	1.0	1	101.6
0.17	0.464	43.0	1.0	3	143.8
0.086	0.935	1.0	2.0	9	602.4
