p_c	p_m	N	c_0	Step_Found	VALUE
0.956	0.19	40.0	1.0	6	25.2
0.241	0.377	1.0	1.0	5	31.4
0.1	0.74	42.0	2.0	4	36.8
0.465	0.504	40.0	2.0	6	38.2
0.815	0.305	45.0	1.0	0	42.4
0.575	0.321	42.0	2.0	6	42.6
0.03	0.215	27.0	2.0	6	44.0
0.582	0.122	39.0	1.0	0	50.0
0.241	0.461	9.0	1.0	2	60.0
0.553	0.759	30.0	1.0	6	65.8
0.1	0.74	42.0	1.0	0	71.4
0.51	0.469	47.0	1.0	4	81.8
0.229	0.28	49.0	1.0	1	83.2
0.229	0.28	20.0	1.0	6	93.4
0.138	0.659	14.0	1.0	1	96.4
0.375	0.619	23.0	2.0	4	97.6
0.241	0.377	9.0	1.0	0	104.4
0.553	0.426	38.0	1.0	3	116.6
0.03	0.148	27.0	2.0	2	117.0
0.225	0.305	10.0	2.0	6	132.0
0.967	0.452	2.0	2.0	2	135.6
0.717	0.276	35.0	1.0	6	143.4
0.274	0.835	49.0	2.0	4	145.0
0.241	0.903	9.0	1.0	1	145.8
0.814	0.469	47.0	1.0	3	176.2
0.956	0.212	40.0	2.0	4	191.0
0.375	0.095	27.0	2.0	0	214.8
0.608	0.518	5.0	1.0	0	225.4
0.556	0.771	4.0	2.0	0	238.8
0.84	0.305	45.0	2.0	3	245.0
