p_c	p_m	N	c_0	Step_Found	VALUE
0.936	0.333	21.0	1.0	5	17.4
0.892	0.286	23.0	1.0	3	24.4
0.157	0.046	17.0	2.0	3	34.6
0.157	0.046	46.0	2.0	6	35.2
0.491	0.466	41.0	2.0	4	47.4
0.751	0.102	49.0	2.0	3	52.2
0.339	0.42	42.0	1.0	6	60.2
0.598	0.295	2.0	2.0	0	61.2
0.402	0.82	23.0	1.0	5	63.8
0.884	0.261	11.0	2.0	1	66.4
0.187	0.447	44.0	2.0	0	66.6
0.582	0.659	10.0	2.0	3	77.6
0.118	0.721	32.0	1.0	2	80.0
0.666	0.42	42.0	1.0	3	84.2
0.682	0.253	36.0	2.0	5	86.0
0.402	0.82	23.0	2.0	1	106.2
0.402	0.286	23.0	2.0	2	112.0
0.832	0.102	44.0	2.0	6	113.2
0.034	0.779	26.0	2.0	0	128.8
0.402	0.701	23.0	2.0	3	128.8
0.425	0.689	41.0	2.0	2	131.8
0.384	0.29	43.0	1.0	1	133.2
0.861	0.42	41.0	1.0	2	148.2
0.661	0.288	17.0	2.0	2	149.2
0.673	0.577	21.0	1.0	6	223.0
0.881	0.555	47.0	2.0	4	233.2
0.407	0.659	28.0	1.0	4	244.2
0.724	0.724	49.0	2.0	1	265.4
0.118	0.034	32.0	1.0	3	279.2
