p_c	p_m	N	c_0	Step_Found	VALUE
0.986	0.755	43.0	1.0	9	16.6
0.131	0.328	9.0	1.0	2	18.2
0.06	0.755	24.0	2.0	11	18.8
0.781	0.202	24.0	2.0	0	26.0
0.338	0.329	7.0	2.0	1	27.2
0.19	0.71	12.0	1.0	3	27.8
0.657	0.54	30.0	2.0	2	39.0
0.722	0.546	30.0	1.0	6	45.8
0.784	0.755	24.0	1.0	2	59.8
0.19	0.301	7.0	1.0	11	60.8
0.131	0.554	27.0	1.0	9	79.0
0.102	0.492	43.0	2.0	10	102.0
0.19	0.71	33.0	1.0	7	107.8
0.636	0.961	31.0	2.0	6	110.4
0.06	0.755	24.0	1.0	6	124.0
0.102	0.492	43.0	1.0	0	152.4
0.781	0.776	47.0	1.0	11	349.6
