p_c	p_m	N	c_0	Step_Found	VALUE
0.943	0.37	17.0	1.0	3	13.0
0.057	0.657	41.0	1.0	3	15.6
0.147	0.799	28.0	1.0	5	32.6
0.724	0.206	8.0	2.0	0	35.4
0.146	0.799	28.0	1.0	4	36.6
0.943	0.37	41.0	1.0	6	39.4
0.943	0.37	5.0	2.0	4	43.0
0.324	0.286	27.0	2.0	4	44.8
0.943	0.37	5.0	1.0	0	47.6
0.251	0.589	8.0	1.0	3	51.2
0.273	0.845	26.0	1.0	1	53.6
0.248	0.466	32.0	1.0	5	53.6
0.065	0.568	49.0	1.0	3	54.8
0.324	0.228	30.0	2.0	3	60.6
0.943	0.582	33.0	1.0	5	64.4
0.974	0.094	21.0	2.0	1	72.4
0.734	0.206	25.0	2.0	5	73.2
0.215	0.799	28.0	1.0	2	80.8
0.759	0.416	42.0	1.0	0	88.8
0.065	0.568	20.0	1.0	6	124.8
0.065	0.568	49.0	2.0	2	132.2
0.943	0.37	17.0	2.0	5	152.8
0.334	0.094	35.0	2.0	0	194.0
0.827	0.823	28.0	2.0	4	205.4
0.943	0.582	31.0	1.0	2	233.8
0.135	0.475	5.0	1.0	6	297.2
0.829	0.416	15.0	2.0	1	310.8
0.135	0.04	45.0	2.0	1	336.4
0.829	0.16	15.0	2.0	4	399.4
0.187	0.991	37.0	2.0	1	407.6
