p_c	p_m	N	c_0	Step_Found	VALUE
0.491	0.112	47.0	1.0	2	36.0
0.453	0.32	47.0	1.0	9	37.8
0.501	0.636	47.0	1.0	5	41.2
0.063	0.22	34.0	1.0	1	44.8
0.962	0.08	19.0	2.0	1	62.8
0.491	0.112	4.0	1.0	1	84.2
0.103	0.112	7.0	1.0	7	87.8
0.664	0.291	37.0	1.0	8	95.6
0.453	0.32	47.0	2.0	8	111.2
0.156	0.112	7.0	2.0	8	118.2
0.258	0.266	23.0	1.0	0	134.0
0.664	0.933	27.0	1.0	2	147.4
0.962	0.744	4.0	2.0	0	163.8
0.001	0.19	46.0	1.0	2	177.6
0.446	0.97	48.0	2.0	3	181.2
0.554	0.837	13.0	2.0	4	214.4
0.147	0.636	26.0	1.0	5	225.0
0.543	0.97	48.0	1.0	8	296.8
0.543	0.97	48.0	2.0	7	303.0
0.152	0.636	47.0	1.0	3	322.0
0.42	0.97	48.0	2.0	0	376.0
