p_c	p_m	N	c_0	Step_Found	VALUE
0.888	0.749	8.0	2.0	4	45.0
0.604	0.707	18.0	2.0	0	47.0
0.588	0.595	16.0	1.0	4	48.8
0.102	0.144	1.0	1.0	0	54.4
0.604	0.455	41.0	1.0	4	59.8
0.544	0.935	5.0	1.0	0	62.4
0.057	0.451	35.0	2.0	1	76.4
0.102	0.308	1.0	1.0	7	82.8
0.952	0.53	36.0	1.0	4	84.8
0.102	0.144	1.0	2.0	3	85.6
0.378	0.097	12.0	2.0	1	92.2
0.905	0.172	16.0	2.0	7	92.6
0.814	0.244	1.0	1.0	7	102.2
0.319	0.76	16.0	2.0	5	117.0
0.393	0.22	36.0	1.0	6	120.8
0.588	0.631	1.0	1.0	5	123.6
0.319	0.76	16.0	1.0	2	124.0
0.544	0.935	23.0	2.0	4	126.2
0.588	0.556	49.0	2.0	7	150.4
0.393	0.53	36.0	1.0	0	184.6
0.319	0.54	16.0	1.0	0	188.4
0.319	0.54	15.0	1.0	3	220.6
0.207	0.767	33.0	1.0	3	236.2
0.503	0.193	25.0	2.0	0	238.4
0.451	0.566	3.0	2.0	1	242.8
0.102	0.631	1.0	1.0	4	321.6
