p_c	p_m	N	c_0	Step_Found	VALUE
0.424	0.773	2.0	1.0	7	16.4
0.899	0.149	34.0	1.0	2	18.4
0.366	0.824	40.0	1.0	0	24.2
0.031	0.126	36.0	2.0	8	30.4
0.848	0.906	35.0	2.0	6	40.6
0.031	0.126	36.0	1.0	4	45.2
0.925	0.227	40.0	2.0	8	55.8
0.031	0.452	24.0	1.0	6	56.2
0.76	0.373	24.0	1.0	1	67.2
0.668	0.129	21.0	1.0	8	72.0
0.424	0.227	16.0	1.0	5	82.8
0.558	0.227	18.0	1.0	4	86.8
0.143	0.126	37.0	1.0	5	96.8
0.031	0.126	24.0	1.0	5	102.4
0.987	0.824	40.0	1.0	5	116.6
0.424	0.773	34.0	1.0	5	122.8
0.668	0.074	21.0	1.0	0	124.4
0.181	0.332	32.0	2.0	8	126.0
0.181	0.126	24.0	2.0	7	140.2
0.589	0.268	37.0	2.0	1	150.8
0.214	0.677	36.0	2.0	1	190.8
0.057	0.106	43.0	2.0	1	206.0
0.051	0.557	17.0	2.0	5	271.4
