p_c	p_m	N	c_0	Step_Found	VALUE
0.134	0.971	17.0	2.0	3	13.4
0.707	0.639	36.0	1.0	7	23.6
0.78	0.19	47.0	1.0	7	29.8
0.666	0.767	20.0	2.0	0	33.8
0.073	0.153	9.0	1.0	3	37.6
0.728	0.561	46.0	1.0	6	39.6
0.674	0.821	45.0	1.0	3	40.6
0.969	0.639	43.0	1.0	4	44.4
0.688	0.931	30.0	1.0	2	46.0
0.728	0.524	46.0	1.0	5	46.8
0.918	0.19	2.0	1.0	3	50.0
0.992	0.821	45.0	1.0	6	54.6
0.353	0.757	9.0	1.0	6	65.4
0.173	0.216	14.0	1.0	5	67.0
0.073	0.153	16.0	1.0	1	70.4
0.214	0.313	46.0	1.0	6	72.0
0.969	0.639	37.0	1.0	0	78.0
0.39	0.874	1.0	2.0	6	80.0
0.353	0.956	12.0	1.0	1	80.6
0.353	0.301	6.0	1.0	7	107.4
0.557	0.308	14.0	1.0	0	128.4
0.688	0.19	30.0	1.0	1	136.4
0.353	0.757	12.0	1.0	3	199.2
0.719	0.747	30.0	1.0	6	220.8
0.691	0.454	15.0	1.0	4	226.8
0.447	0.254	46.0	2.0	4	238.0
0.39	0.874	29.0	2.0	1	269.4
