p_c	p_m	N	c_0	Step_Found	VALUE
0.005	0.74	18.0	1.0	5	21.8
0.425	0.083	42.0	2.0	0	26.8
0.627	0.818	7.0	1.0	6	31.4
0.273	0.74	20.0	1.0	1	31.8
0.627	0.504	7.0	1.0	3	32.2
0.508	0.122	12.0	2.0	8	41.6
0.123	0.805	3.0	1.0	0	43.0
0.273	0.638	26.0	2.0	4	54.4
0.508	0.315	12.0	2.0	7	57.6
0.273	0.354	26.0	2.0	7	58.0
0.627	0.784	7.0	1.0	1	58.2
0.357	0.122	49.0	1.0	5	59.6
0.44	0.791	49.0	2.0	4	61.4
0.508	0.262	42.0	2.0	3	63.8
0.265	0.122	49.0	1.0	6	89.0
0.311	0.74	18.0	1.0	8	99.2
0.488	0.28	29.0	2.0	6	117.4
0.225	0.853	39.0	1.0	8	120.2
0.181	0.64	39.0	2.0	2	158.2
0.596	0.493	23.0	1.0	0	193.0
0.064	0.354	26.0	2.0	8	256.8
0.273	0.658	48.0	2.0	6	282.6
0.794	0.252	31.0	2.0	3	340.2
0.033	0.021	28.0	1.0	0	487.6
