p_c	p_m	N	c_0	Step_Found	VALUE
0.277	0.821	22.0	2.0	0	21.4
0.344	0.5	29.0	1.0	7	31.0
0.194	0.098	46.0	2.0	4	31.2
0.211	0.799	3.0	2.0	7	38.0
0.849	0.421	24.0	2.0	3	53.4
0.211	0.128	3.0	2.0	3	54.0
0.935	0.403	25.0	1.0	5	58.2
0.063	0.661	16.0	1.0	1	61.4
0.841	0.74	33.0	1.0	4	65.0
0.918	0.12	46.0	2.0	5	66.6
0.795	0.365	14.0	2.0	1	72.4
0.937	0.661	33.0	1.0	4	78.2
0.351	0.363	50.0	2.0	4	81.2
0.414	0.623	33.0	1.0	0	81.2
0.844	0.184	9.0	2.0	2	82.0
0.688	0.754	38.0	2.0	4	98.4
0.15	0.421	24.0	1.0	6	113.6
0.063	0.207	16.0	1.0	4	129.4
0.663	0.12	24.0	2.0	6	150.4
0.518	0.403	29.0	1.0	4	177.0
0.751	0.662	40.0	2.0	1	178.0
0.535	0.644	33.0	1.0	5	190.0
0.795	0.365	14.0	1.0	7	209.4
0.063	0.661	14.0	2.0	2	228.4
0.922	0.685	24.0	2.0	7	229.0
0.55	0.378	42.0	2.0	4	275.0
0.841	0.644	33.0	1.0	1	352.6
0.917	0.995	16.0	1.0	7	452.4
