p_c	p_m	N	c_0	Step_Found	VALUE
0.608	0.304	49.0	2.0	6	21.4
0.36	0.06	22.0	1.0	4	23.4
0.835	0.812	36.0	2.0	9	29.6
0.275	0.904	31.0	1.0	2	30.4
0.36	0.06	23.0	1.0	7	39.6
0.94	0.78	10.0	2.0	2	40.0
0.36	0.06	35.0	2.0	3	40.6
0.805	0.909	4.0	2.0	7	47.2
0.835	0.686	44.0	2.0	0	52.0
0.805	0.06	12.0	1.0	3	60.4
0.395	0.553	42.0	2.0	10	71.8
0.025	0.78	10.0	2.0	8	73.8
0.549	0.402	46.0	1.0	1	78.6
0.946	0.955	32.0	2.0	4	79.8
0.395	0.69	7.0	2.0	5	83.2
0.047	0.283	12.0	1.0	6	92.4
0.508	0.045	44.0	1.0	5	185.8
0.508	0.045	42.0	1.0	11	232.6
