p_c	p_m	N	c_0	Step_Found	VALUE
0.82	0.845	18.0	2.0	10	2.9199992000000004
0.257	0.574	50.0	1.0	13	3.1399988
0.627	0.179	11.0	2.0	3	3.1399999999999997
0.627	0.179	11.0	1.0	5	5.779999599999999
0.75	0.665	13.0	2.0	12	7.880001200000001
0.257	0.737	50.0	1.0	10	8.080001999999999
0.496	0.795	42.0	2.0	4	8.7600014
0.491	0.179	19.0	1.0	10	8.9199998
0.601	0.42	40.0	1.0	6	9.199999599999998
0.75	0.486	13.0	1.0	0	10.3600004
0.109	0.599	5.0	1.0	0	10.3999996
0.601	0.42	18.0	2.0	7	10.6000008
0.601	0.25	20.0	1.0	3	13.160001400000002
0.331	0.246	35.0	1.0	9	22.7200004
0.627	0.871	11.0	2.0	6	38.3800002
