p_c	p_m	N	c_0	Step_Found	VALUE
0.523	0.15	29.0	1.0	7	1.7999993999999997
0.631	0.194	6.0	1.0	12	3.2399998000000005
0.601	0.194	8.0	1.0	10	3.72
0.16	0.095	24.0	2.0	9	4.0000012
0.59	0.169	36.0	2.0	7	4.0600002
0.601	0.769	3.0	1.0	13	4.7399996
0.607	0.399	27.0	2.0	7	5.6200004
0.203	0.651	34.0	2.0	10	6.2600006
0.601	0.194	3.0	1.0	9	7.779999999999999
0.538	0.117	37.0	1.0	10	8.559999399999999
0.601	0.053	23.0	2.0	4	10.1999998
0.538	0.117	32.0	1.0	4	20.600000799999997
0.601	0.574	42.0	1.0	6	22.8799998
0.109	0.599	5.0	1.0	0	26.3399994
0.662	0.391	45.0	1.0	4	39.640000400000005
