p_c	p_m	N	c_0	Step_Found	VALUE
0.309	0.117	11.0	2.0	8	2.3800004
0.886	0.344	39.0	1.0	4	2.5599993999999997
0.987	0.344	42.0	1.0	4	2.7600004
0.309	0.367	18.0	2.0	11	4.2599998
0.05	0.344	33.0	2.0	7	5.9599998
0.109	0.584	46.0	1.0	10	6.2399994
0.309	0.117	21.0	1.0	6	6.460000199999999
0.309	0.804	49.0	1.0	10	10.559998799999999
0.465	0.344	39.0	1.0	13	11.060001000000002
0.196	0.197	25.0	2.0	5	11.4400004
0.05	0.344	34.0	2.0	12	12.4800006
0.05	0.344	33.0	1.0	3	14.2199994
0.309	0.804	49.0	2.0	7	15.3600004
0.109	0.541	46.0	1.0	5	15.739998600000002
0.309	0.117	22.0	1.0	1	15.880001400000001
