p_c	p_m	N	c_0	Step_Found	VALUE
0.309	0.117	49.0	2.0	2	2.0000004
0.268	0.893	43.0	1.0	5	2.060001
0.268	0.344	43.0	2.0	9	3.0999993999999997
0.461	0.057	47.0	2.0	2	3.7000001999999994
0.05	0.344	33.0	1.0	3	4.3200004000000005
0.268	0.893	43.0	2.0	6	5.460001199999999
0.667	0.344	43.0	2.0	12	6.679998800000002
0.268	0.344	39.0	1.0	11	8.0600014
0.268	0.344	43.0	1.0	2	9.1999998
0.395	0.216	3.0	1.0	10	10.4000008
0.309	0.117	24.0	2.0	13	12.7999994
0.461	0.057	45.0	2.0	6	14.6000008
0.109	0.619	5.0	1.0	2	14.979999000000001
0.395	0.117	20.0	1.0	9	17.8
0.054	0.208	46.0	1.0	5	27.6600008
