p_c	p_m	N	c_0	Step_Found	VALUE
0.612	0.181	25.0	1.0	5	1.7999994000000001
0.446	0.832	29.0	1.0	13	2.5600004
0.349	0.051	49.0	1.0	13	4.18
0.612	0.181	25.0	2.0	2	4.46
0.601	0.824	29.0	1.0	5	5.159998
0.601	0.495	29.0	1.0	13	8.499998999999999
0.446	0.351	29.0	1.0	12	8.5399998
0.869	0.317	46.0	1.0	2	8.9999996
0.102	0.117	49.0	2.0	2	10.2400006
0.05	0.26	26.0	2.0	1	10.360000199999998
0.349	0.675	49.0	1.0	9	11.619999400000001
0.349	0.262	49.0	1.0	12	11.639999
0.26	0.693	9.0	2.0	3	12.9400002
0.601	0.351	29.0	2.0	4	13.5799992
0.102	0.117	33.0	2.0	12	24.2199998
