p_c	p_m	N	c_0	Step_Found	VALUE
0.422	0.246	7.0	1.0	2	1.8400002
0.813	0.342	44.0	2.0	1	2.2199988000000004
0.988	0.142	25.0	2.0	12	2.7400006
0.323	0.862	9.0	2.0	3	2.94
0.403	0.862	9.0	1.0	12	4.180000000000001
0.563	0.246	7.0	1.0	0	4.2600001999999995
0.128	0.458	35.0	1.0	8	4.619998799999999
0.69	0.55	29.0	1.0	10	5.900000199999999
0.704	0.862	33.0	2.0	13	8.1200002
0.109	0.316	5.0	1.0	9	9.4599988
0.988	0.7	7.0	2.0	8	19.5000002
0.43	0.356	17.0	1.0	13	23.0199994
0.704	0.862	9.0	2.0	5	25.320000399999998
0.094	0.862	1.0	1.0	8	32.3200018
0.919	0.465	43.0	1.0	2	34.5400014
