p_c	p_m	N	c_0	Step_Found	VALUE
0.705	0.459	10.0	2.0	1	2.1200004000000003
0.444	0.789	39.0	2.0	13	2.6200008
0.755	0.344	41.0	2.0	11	3.7199984000000006
0.726	0.65	39.0	1.0	4	5.259999
0.141	0.486	44.0	2.0	12	6.179999199999999
0.715	0.65	39.0	1.0	1	6.5600000000000005
0.75	0.486	13.0	1.0	0	6.719999199999999
0.705	0.263	29.0	2.0	12	7.0799994
0.755	0.593	30.0	2.0	10	9.6000006
0.358	0.486	44.0	1.0	5	12.7600002
0.358	0.236	43.0	1.0	13	13.339999600000002
0.964	0.946	19.0	2.0	4	14.679998799999998
0.358	0.486	44.0	2.0	8	21.2
0.05	0.344	35.0	1.0	4	21.6000002
0.484	0.077	44.0	1.0	4	25.640001599999998
