p_c	p_m	N	c_0	Step_Found	VALUE
0.544	0.486	22.0	1.0	9	2.7999983999999998
0.54	0.686	36.0	1.0	12	3.779999
0.75	0.486	13.0	1.0	0	4.5200002
0.507	0.686	16.0	2.0	3	4.6600008
0.066	0.207	5.0	2.0	11	5.4200006
0.215	0.144	29.0	2.0	10	5.6399988
0.238	0.832	5.0	1.0	10	5.7400012
0.392	0.691	18.0	2.0	11	6.0800004
0.325	0.195	28.0	1.0	13	6.539999
0.678	0.512	17.0	1.0	9	7.639999399999999
0.195	0.164	35.0	2.0	7	14.059997599999999
0.323	0.244	49.0	1.0	8	14.779998799999998
0.512	0.832	5.0	2.0	5	16.5199996
0.051	0.832	5.0	1.0	8	19.760001999999997
0.507	0.686	36.0	2.0	10	24.499999999999996
