p_c	p_m	N	c_0	Step_Found	VALUE
0.069	0.359	6.0	2.0	10	1.4400005999999999
0.309	0.333	44.0	1.0	2	3.2399999999999998
0.598	0.824	29.0	1.0	7	3.5599994
0.563	0.748	6.0	1.0	4	5.6400004
0.853	0.716	12.0	2.0	11	5.66
0.563	0.748	35.0	1.0	9	6.9600002000000005
0.334	0.607	46.0	2.0	6	7.9
0.595	0.633	46.0	2.0	9	8.760000599999998
0.823	0.777	19.0	2.0	11	9.280000000000001
0.069	0.293	20.0	2.0	1	9.6000002
0.458	0.542	5.0	1.0	12	12.8400004
0.823	0.36	19.0	1.0	1	14.8199996
0.069	0.293	45.0	2.0	11	18.3400006
0.458	0.542	34.0	2.0	10	24.6000004
0.309	0.505	31.0	1.0	10	26.6599988
