p_c	p_m	N	c_0	Step_Found	VALUE
0.196	0.757	5.0	1.0	3	1.1200021999999998
0.601	0.824	29.0	1.0	3	3.8599992
0.025	0.611	5.0	2.0	13	3.9400003999999997
0.634	0.757	5.0	1.0	9	5.0199998
0.196	0.781	5.0	2.0	6	5.7999992
0.196	0.388	5.0	1.0	6	7.7399992
0.313	0.465	4.0	2.0	11	7.840000000000001
0.196	0.781	5.0	1.0	12	8.280001
0.282	0.824	29.0	1.0	12	9.4000004
0.601	0.357	37.0	1.0	6	10.540000199999998
0.025	0.932	5.0	2.0	6	12.000001800000001
0.617	0.757	5.0	2.0	12	12.659998799999999
0.919	0.465	4.0	2.0	3	22.619999
0.025	0.932	5.0	1.0	4	25.0800002
0.309	0.312	49.0	1.0	5	39.08
