p_c	p_m	N	c_0	Step_Found	VALUE
0.75	0.486	13.0	1.0	0	4.1400004
0.393	0.412	31.0	2.0	9	6.239999599999999
0.342	0.152	2.0	2.0	11	7.0200014
0.324	0.39	36.0	2.0	12	7.159999599999999
0.013	0.306	44.0	1.0	13	7.1799995999999995
0.852	0.865	32.0	2.0	4	7.680000199999999
0.161	0.447	7.0	1.0	4	8.1000008
0.87	0.352	28.0	2.0	9	12.139999999999999
0.458	0.726	10.0	2.0	12	13.960001199999999
0.365	0.306	44.0	2.0	12	14.160000599999998
0.342	0.311	44.0	1.0	12	15.640000599999999
0.87	0.675	36.0	2.0	8	21.299999800000002
0.292	0.227	36.0	1.0	2	21.880001999999998
0.342	0.306	44.0	2.0	9	26.7799986
0.393	0.726	31.0	2.0	2	34.1399998
