p_c	p_m	N	c_0	Step_Found	VALUE
0.765	0.75	50.0	1.0	6	4.200000600000001
0.816	0.195	33.0	2.0	6	4.8800002
0.75	0.086	13.0	1.0	13	5.279999800000001
0.231	0.124	35.0	1.0	9	5.320000800000001
0.231	0.679	25.0	1.0	13	6.1000011999999995
0.231	0.417	50.0	1.0	3	7.5
0.75	0.486	13.0	1.0	0	8.419999999999998
0.75	0.441	13.0	1.0	8	9.6400004
0.85	0.75	42.0	2.0	12	9.6599996
0.109	0.599	5.0	1.0	0	13.2799982
0.231	0.417	35.0	1.0	7	13.8600008
0.786	0.75	49.0	1.0	11	14.220000399999998
0.742	0.293	20.0	2.0	4	15.259998999999999
0.742	0.214	20.0	2.0	11	22.9399992
0.588	0.753	39.0	2.0	6	30.659999399999997
