p_c	p_m	N	c_0	Step_Found	VALUE
0.824	0.293	20.0	2.0	1	1.0000003999999998
0.377	0.224	1.0	2.0	13	1.0200014
0.57	0.191	9.0	1.0	9	1.6799998000000003
0.928	0.878	27.0	1.0	2	2.8599989999999997
0.531	0.964	15.0	2.0	13	3.2399999999999998
0.824	0.081	20.0	2.0	8	3.7799988
0.377	0.878	1.0	2.0	11	4.9799999999999995
0.377	0.878	27.0	1.0	3	5.619999
0.75	0.486	13.0	1.0	0	6.9400002
0.19	0.796	41.0	2.0	2	7.0200002
0.957	0.964	15.0	2.0	1	7.4199985999999996
0.824	0.159	20.0	2.0	11	8.4600006
0.601	0.824	38.0	1.0	13	12.9799994
0.75	0.337	13.0	1.0	3	20.9200002
0.601	0.824	42.0	1.0	7	29.079999400000002
