p_c	p_m	N	c_0	Step_Found	VALUE
0.395	0.835	21.0	2.0	11	2.3199986000000004
0.601	0.841	20.0	2.0	5	2.4
0.058	0.293	20.0	2.0	1	3.9600001999999996
0.434	0.225	31.0	2.0	5	5.899998999999999
0.027	0.312	5.0	2.0	7	6.499999799999999
0.736	0.293	20.0	2.0	13	6.959999600000001
0.805	0.293	20.0	2.0	13	9.580001
0.75	0.486	13.0	1.0	0	10.039999599999998
0.434	0.741	31.0	1.0	6	11.780001000000002
0.75	0.486	2.0	2.0	13	13.8600004
0.058	0.603	20.0	2.0	8	18.759999
0.626	0.835	21.0	2.0	6	20.919999999999998
0.906	0.293	20.0	2.0	12	22.0999996
0.919	0.465	46.0	2.0	1	25.079999199999996
0.626	0.726	21.0	2.0	9	29.239999599999997
