p_c	p_m	N	c_0	Step_Found	VALUE
0.245	0.329	39.0	2.0	5	3.4399996
0.647	0.117	43.0	1.0	2	3.7800002
0.75	0.486	34.0	1.0	12	4.1999998
0.75	0.486	13.0	1.0	0	4.9400006
0.75	0.486	7.0	1.0	9	7.539999400000001
0.507	0.044	34.0	1.0	13	8.4599994
0.245	0.656	39.0	2.0	9	14.3000006
0.601	0.824	42.0	1.0	11	15.5400002
0.153	0.117	43.0	1.0	10	15.759999599999997
0.079	0.946	10.0	1.0	6	17.860000399999997
0.507	0.044	34.0	2.0	1	17.8600012
0.912	0.241	44.0	1.0	5	20.4599994
0.361	0.238	34.0	2.0	13	20.6800018
0.601	0.824	29.0	1.0	1	26.660000200000002
0.361	0.044	34.0	2.0	7	49.6599994
