p_c	p_m	N	c_0	Step_Found	VALUE
0.082	0.115	41.0	2.0	7	3.540001
0.946	0.211	17.0	2.0	9	4.239999
0.109	0.599	5.0	1.0	0	4.3199988000000005
0.722	0.937	30.0	1.0	13	5.92
0.787	0.486	44.0	1.0	5	7.200000399999999
0.021	0.448	44.0	1.0	13	7.479999000000001
0.266	0.486	44.0	2.0	6	7.839999399999999
0.833	0.211	40.0	1.0	6	10.7400002
0.021	0.486	44.0	1.0	3	11.140001
0.021	0.458	44.0	1.0	9	12.880000199999998
0.021	0.463	44.0	2.0	4	15.220000200000001
0.021	0.37	44.0	2.0	8	15.380001400000001
0.395	0.463	44.0	2.0	12	18.7799998
0.395	0.463	44.0	1.0	13	22.3399994
0.021	0.486	44.0	2.0	1	23.979999399999997
