p_c	p_m	N	c_0	Step_Found	VALUE
0.601	0.824	29.0	1.0	1	2.8999996
0.379	0.548	49.0	1.0	9	5.6200002
0.657	0.246	49.0	1.0	7	6.5399992
0.309	0.117	20.0	2.0	10	6.559999
0.27	0.946	34.0	1.0	5	11.8999996
0.309	0.246	49.0	1.0	2	11.979999600000001
0.096	0.548	49.0	1.0	10	13.760000400000001
0.834	0.548	49.0	1.0	12	13.800000800000001
0.081	0.824	29.0	2.0	5	14.739999999999998
0.919	0.935	2.0	2.0	3	15.960000000000003
0.76	0.486	13.0	1.0	1	16.1199996
0.76	0.486	47.0	2.0	4	21.2599998
0.696	0.927	2.0	2.0	12	21.880001200000002
0.402	0.927	2.0	2.0	13	22.0999998
0.919	0.927	2.0	2.0	10	24.160001400000002
