p_c	p_m	N	c_0	Step_Found	VALUE
0.123	0.182	48.0	1.0	11	0.6200004
0.257	0.924	43.0	1.0	1	2.4600006
0.601	0.747	29.0	1.0	13	3.5599994
0.601	0.747	29.0	2.0	5	4.980000200000001
0.768	0.486	13.0	1.0	5	5.3600002
0.446	0.117	38.0	2.0	9	6.7399987999999995
0.75	0.486	13.0	1.0	0	6.8400002
0.862	0.758	15.0	1.0	5	8.4599994
0.446	0.824	29.0	2.0	4	10.0399998
0.123	0.856	48.0	1.0	4	13.4799996
0.601	0.747	18.0	2.0	12	14.820000199999999
0.129	0.314	43.0	2.0	2	18.18
0.309	0.2	29.0	2.0	1	19.940001000000002
0.836	0.412	46.0	2.0	9	24.3599998
0.836	0.412	32.0	2.0	7	24.360000399999997
