p_c	p_m	N	c_0	Step_Found	VALUE
0.823	0.072	41.0	2.0	1	1.8999995999999997
0.337	0.284	16.0	2.0	10	2.8599986
0.403	0.601	25.0	1.0	5	3.4800005999999994
0.403	0.181	12.0	2.0	4	3.6400009999999994
0.488	0.072	41.0	2.0	11	4.180000000000001
0.698	0.072	41.0	2.0	13	4.8399998
0.753	0.601	25.0	1.0	10	5.6799994
0.403	0.824	25.0	2.0	5	5.780000599999999
0.252	0.546	33.0	2.0	7	5.9600007999999995
0.403	0.824	42.0	2.0	10	9.9400008
0.601	0.783	29.0	2.0	11	10.440001599999999
0.403	0.664	14.0	1.0	6	12.940000800000002
0.437	0.072	41.0	1.0	4	13.979998799999999
0.061	0.072	41.0	2.0	10	15.600001000000002
0.282	0.181	12.0	2.0	11	21.3800006
