p_c	p_m	N	c_0	Step_Found	VALUE
0.601	0.824	29.0	1.0	2	1.8799996
0.089	0.486	30.0	2.0	4	3.3199987999999996
0.095	0.344	39.0	1.0	5	4.0999986
0.669	0.806	43.0	1.0	5	4.8200009999999995
0.095	0.344	2.0	1.0	11	5.020001
0.085	0.186	41.0	2.0	10	5.040000600000001
0.1	0.344	39.0	1.0	2	6.580000200000001
0.095	0.529	27.0	1.0	12	6.599999600000001
0.089	0.76	24.0	2.0	7	7.599999999999999
0.729	0.344	39.0	1.0	4	8.4599996
0.669	0.522	43.0	1.0	3	9.3799996
0.24	0.946	43.0	2.0	1	10.2399992
0.278	0.379	27.0	2.0	9	11.9399996
0.224	0.633	41.0	2.0	7	12.78
0.37	0.241	31.0	1.0	9	16.9999994
