p_c	p_m	N	c_0	Step_Found	VALUE
0.948	0.083	33.0	1.0	8	0.9799992
0.286	0.906	39.0	1.0	4	2.8400005999999998
0.301	0.88	14.0	1.0	8	3.5800001999999997
0.286	0.614	24.0	1.0	5	3.6599992
0.854	0.897	43.0	2.0	13	3.9
0.77	0.291	36.0	1.0	10	3.9400015999999995
0.048	0.097	30.0	1.0	7	4.0799998
0.037	0.097	26.0	1.0	12	4.280001
0.75	0.476	13.0	1.0	2	5.4400016
0.858	0.097	30.0	1.0	9	5.479999599999999
0.77	0.291	36.0	2.0	1	6.0999989999999995
0.858	0.097	6.0	1.0	10	13.179999800000001
0.847	0.897	43.0	2.0	11	13.599999
0.108	0.119	32.0	2.0	9	17.659999799999998
0.843	0.757	24.0	1.0	12	22.9799996
