p_c	p_m	N	c_0	Step_Found	VALUE
0.956	0.654	15.0	2.0	11	1.9200004
0.296	0.104	29.0	1.0	6	3.8399996
0.254	0.924	28.0	2.0	2	3.9600004000000006
0.881	0.702	41.0	1.0	5	4.9800002
0.516	0.192	29.0	2.0	5	5.7000006
0.989	0.317	36.0	2.0	11	5.859999800000001
0.196	0.317	26.0	2.0	4	5.9999991999999995
0.161	0.801	36.0	1.0	13	6.5400002
0.37	0.192	29.0	2.0	11	7.159999600000001
0.553	0.341	3.0	1.0	3	8.2599998
0.553	0.341	48.0	1.0	2	12.1999988
0.516	0.192	29.0	1.0	9	15.719999999999999
0.531	0.709	48.0	2.0	9	17.180001
0.823	0.66	23.0	2.0	2	21.4999994
0.196	0.317	36.0	2.0	6	23.6199998
