p_c	p_m	N	c_0	Step_Found	VALUE
0.161	0.357	23.0	2.0	8	2.2199999999999998
0.601	0.357	29.0	1.0	6	3.5000002
0.592	0.339	1.0	1.0	12	4.7200014
0.601	0.212	29.0	1.0	7	5.119999599999999
0.76	0.373	24.0	1.0	12	6.719999400000001
0.609	0.92	16.0	2.0	10	6.779999599999999
0.173	0.27	39.0	1.0	3	9.180001
0.507	0.441	16.0	2.0	6	9.8600008
0.325	0.651	13.0	1.0	2	10.8800006
0.071	0.18	6.0	1.0	13	12.4200008
0.071	0.18	31.0	1.0	3	13.220000200000001
0.782	0.704	13.0	2.0	3	14.0200004
0.787	0.196	9.0	1.0	7	17.0199998
0.507	0.625	35.0	2.0	1	25.36
0.507	0.625	35.0	1.0	3	29.440000199999997
