p_c	p_m	N	c_0	Step_Found	VALUE
0.461	0.904	39.0	2.0	8	40.4
0.196	0.306	43.0	2.0	12	45.4
0.475	0.306	43.0	2.0	10	48.6
0.481	0.056	33.0	2.0	4	54.8
0.894	0.958	9.0	2.0	0	56.2
0.331	0.231	18.0	2.0	6	76.2
0.601	0.306	43.0	2.0	1	92.6
0.421	0.289	2.0	2.0	4	101.8
0.74	0.946	42.0	1.0	11	122.8
0.47	0.231	32.0	2.0	7	132.4
0.331	0.231	18.0	1.0	10	172.2
0.812	0.056	33.0	2.0	3	216.6
0.231	0.82	32.0	1.0	2	298.8
0.74	0.076	42.0	1.0	10	315.8
0.461	0.904	2.0	2.0	0	323.6
