p_c	p_m	N	c_0	Step_Found	VALUE
0.963	0.845	18.0	2.0	0	22.2
0.329	0.805	31.0	1.0	13	28.4
0.334	0.42	13.0	2.0	0	29.6
0.334	0.819	13.0	2.0	5	30.2
0.423	0.211	46.0	1.0	13	37.8
0.765	0.303	46.0	2.0	13	43.8
0.873	0.729	31.0	1.0	10	48.8
0.873	0.728	31.0	1.0	0	58.2
0.649	0.906	46.0	1.0	1	72.6
0.329	0.51	31.0	1.0	8	91.0
0.394	0.471	20.0	1.0	5	111.8
0.329	0.51	31.0	1.0	10	146.8
0.725	0.69	33.0	2.0	10	199.0
0.868	0.34	46.0	2.0	6	204.2
0.334	0.42	33.0	2.0	2	279.2
