p_c	p_m	N	c_0	Step_Found	VALUE
0.062	0.725	43.0	2.0	11	15.8
0.143	0.387	20.0	1.0	12	33.8
0.062	0.151	23.0	2.0	12	35.6
0.571	0.544	29.0	2.0	9	36.6
0.86	0.461	35.0	1.0	2	42.0
0.508	0.463	19.0	2.0	9	45.0
0.444	0.102	50.0	1.0	5	51.8
0.062	0.677	23.0	1.0	10	64.2
0.201	0.06	24.0	2.0	8	65.6
0.571	0.819	29.0	1.0	7	81.2
0.441	0.748	14.0	2.0	6	120.0
0.86	0.356	35.0	1.0	4	173.2
0.201	0.323	45.0	2.0	13	181.6
0.508	0.463	8.0	2.0	8	204.2
0.176	0.102	50.0	1.0	4	358.2
