p_c	p_m	N	c_0	Step_Found	VALUE
0.266	0.734	32.0	1.0	10	20.0
0.967	0.193	1.0	1.0	5	27.8
0.967	0.193	3.0	1.0	4	58.0
0.403	0.912	46.0	2.0	0	60.8
0.086	0.722	16.0	1.0	9	75.8
0.324	0.566	5.0	1.0	3	83.2
0.998	0.466	1.0	2.0	9	115.6
0.61	0.591	14.0	2.0	7	127.8
0.61	0.316	14.0	2.0	8	130.0
0.226	0.566	9.0	1.0	4	136.2
0.753	0.527	7.0	2.0	7	161.2
0.209	0.527	5.0	2.0	5	239.4
0.068	0.805	31.0	1.0	11	262.6
0.926	0.415	39.0	1.0	13	278.0
0.394	0.963	5.0	1.0	2	287.6
