alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
2.35	9.195	0.565	70.0	29.0	485.0	3.0	0.0	3	0.0061558
2.091	8.47	0.649	87.0	42.0	327.0	3.0	1.0	7	0.013725399999999999
2.091	4.215	0.649	100.0	24.0	327.0	3.0	1.0	4	0.0577402
3.196	2.265	0.116	90.0	23.0	316.0	3.0	0.0	5	0.06473999999999999
2.35	3.854	0.565	70.0	29.0	326.0	3.0	0.0	2	0.0657954
1.731	6.978	0.354	94.0	27.0	630.0	3.0	0.0	7	0.06586499999999999
4.059	9.38	0.41	62.0	21.0	479.0	3.0	1.0	4	0.06648119999999999
6.831	1.94	0.356	65.0	19.0	33.0	3.0	0.0	7	0.0671996
2.091	4.215	0.284	33.0	29.0	327.0	3.0	0.0	6	0.0773504
1.478	6.19	0.962	19.0	48.0	168.0	3.0	1.0	2	0.08732999999999999
4.059	9.38	0.41	62.0	40.0	479.0	3.0	1.0	5	0.1266524
4.985	6.978	0.495	54.0	42.0	461.0	3.0	0.0	3	0.1359788
6.431	1.94	0.677	65.0	19.0	33.0	3.0	0.0	2	0.1368684
4.985	6.978	0.495	54.0	42.0	606.0	3.0	0.0	4	0.15294539999999998
2.35	9.21	0.565	70.0	29.0	326.0	3.0	0.0	4	0.1860228
1.731	6.978	0.495	54.0	42.0	41.0	3.0	0.0	2	0.2234098
6.818	8.468	0.842	64.0	14.0	623.0	3.0	0.0	0	0.27505799999999997
2.35	3.854	0.26	70.0	29.0	326.0	3.0	0.0	6	0.2868166
1.054	1.385	0.116	90.0	23.0	666.0	3.0	0.0	6	0.2965232
2.091	4.215	0.652	100.0	27.0	327.0	3.0	0.0	5	0.2998098
2.091	4.215	0.652	100.0	11.0	327.0	3.0	1.0	3	0.3080234
5.331	9.21	0.565	70.0	29.0	326.0	3.0	0.0	7	0.3490024
2.091	4.673	0.652	100.0	33.0	327.0	3.0	1.0	7	0.3504402
8.909	3.854	0.565	24.0	32.0	485.0	3.0	1.0	5	0.3697148
8.943	4.215	0.667	76.0	24.0	327.0	3.0	1.0	7	0.6885564000000001
