alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.77	5.678	0.311	74.0	42.0	4.0	1.0	0.0	0	0.0008590000000000001
3.124	8.223	0.491	51.0	5.0	220.0	3.0	0.0	3	0.0249288
3.079	9.549	0.845	37.0	46.0	609.0	3.0	1.0	4	0.0297054
2.671	2.732	0.947	58.0	30.0	559.0	3.0	0.0	7	0.044583
1.373	9.549	0.723	22.0	46.0	268.0	3.0	1.0	7	0.13277339999999999
1.373	9.549	0.326	37.0	45.0	717.0	3.0	1.0	3	0.1412672
1.373	1.707	0.883	82.0	46.0	228.0	3.0	1.0	7	0.1422244
2.221	5.732	0.947	65.0	14.0	559.0	3.0	1.0	5	0.14394120000000002
5.091	5.229	0.886	41.0	34.0	40.0	3.0	0.0	7	0.155316
1.373	9.549	0.595	37.0	32.0	717.0	3.0	1.0	7	0.1612368
3.691	5.636	0.689	47.0	39.0	679.0	3.0	0.0	3	0.1623782
1.373	9.549	0.723	22.0	46.0	717.0	3.0	1.0	6	0.1650988
1.373	9.549	0.326	37.0	15.0	717.0	3.0	1.0	6	0.1874094
4.189	1.194	0.212	85.0	22.0	494.0	3.0	1.0	7	0.20185399999999998
3.124	5.377	0.1	55.0	19.0	220.0	3.0	0.0	6	0.25291600000000003
4.189	7.383	0.212	85.0	34.0	283.0	3.0	0.0	5	0.25297420000000004
1.373	9.549	0.845	37.0	45.0	717.0	3.0	1.0	2	0.29694180000000003
5.917	7.526	0.584	57.0	15.0	220.0	3.0	1.0	1	0.29878499999999997
5.091	9.549	0.966	37.0	34.0	40.0	3.0	0.0	6	0.302917
7.639	2.776	0.845	62.0	46.0	76.0	3.0	1.0	5	0.308232
4.189	7.383	0.663	85.0	34.0	283.0	3.0	0.0	6	0.3195222
4.678	8.961	0.212	85.0	13.0	283.0	3.0	0.0	0	0.32047159999999997
5.544	3.639	0.576	100.0	19.0	398.0	3.0	0.0	7	0.3597648
5.917	7.526	0.584	57.0	23.0	220.0	3.0	1.0	5	0.46188060000000003
2.26	7.103	0.875	95.0	26.0	454.0	2.0	0.0	4	0.5491172000000001
