alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.963	4.989	0.95	88.0	29.0	296.0	3.0	1.0	5	0.0006793999999999999
4.351	6.202	0.393	37.0	44.0	26.0	3.0	1.0	5	0.007707
2.474	7.538	0.537	84.0	46.0	91.0	3.0	1.0	0	0.0079462
1.482	7.538	0.44	44.0	11.0	91.0	3.0	1.0	6	0.0375642
1.963	4.989	0.95	78.0	29.0	296.0	3.0	1.0	6	0.0496302
1.482	7.538	0.44	44.0	9.0	91.0	3.0	1.0	7	0.0983058
2.348	9.047	0.95	88.0	32.0	296.0	3.0	1.0	7	0.10103619999999999
2.474	4.28	0.951	70.0	46.0	91.0	3.0	1.0	5	0.1177802
4.351	6.202	0.251	37.0	44.0	26.0	3.0	1.0	7	0.1182326
2.474	4.28	0.537	40.0	46.0	91.0	3.0	1.0	6	0.134401
4.003	3.582	0.135	76.0	11.0	636.0	3.0	0.0	7	0.13524619999999998
2.474	3.69	0.621	70.0	46.0	91.0	3.0	0.0	7	0.1450398
2.474	7.538	0.537	44.0	11.0	657.0	3.0	1.0	5	0.1574734
1.972	2.086	0.393	37.0	42.0	26.0	3.0	1.0	6	0.1661236
4.351	6.202	0.393	37.0	27.0	26.0	3.0	1.0	3	0.18054540000000002
2.474	3.69	0.621	70.0	46.0	91.0	3.0	1.0	6	0.20636380000000001
2.474	4.28	0.537	70.0	46.0	91.0	3.0	1.0	3	0.207179
4.003	8.565	0.135	76.0	20.0	636.0	3.0	0.0	3	0.2190296
4.003	6.673	0.135	73.0	14.0	564.0	3.0	0.0	2	0.22155819999999998
1.963	4.989	0.95	88.0	12.0	296.0	3.0	1.0	4	0.2309328
4.351	6.202	0.393	37.0	13.0	26.0	3.0	1.0	4	0.3201194
2.474	4.28	0.537	40.0	46.0	479.0	3.0	1.0	7	0.3594022
6.694	9.063	0.351	77.0	42.0	539.0	3.0	1.0	0	0.42479180000000005
6.15	1.428	0.521	21.0	37.0	32.0	3.0	1.0	2	0.4859763999999999
6.988	1.613	0.147	73.0	25.0	589.0	3.0	0.0	6	0.5696516
