alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.518	7.028	0.162	34.0	39.0	499.0	3.0	0.0	6	0.0028632
4.737	4.735	0.651	86.0	36.0	665.0	3.0	1.0	0	0.016258
2.587	5.157	0.701	90.0	41.0	168.0	3.0	1.0	7	0.0793888
2.587	4.579	0.701	90.0	41.0	343.0	3.0	1.0	0	0.1460272
5.657	9.675	0.438	53.0	45.0	509.0	3.0	1.0	6	0.1499352
2.587	4.579	0.701	47.0	41.0	343.0	3.0	1.0	5	0.16488260000000002
1.877	2.076	0.162	69.0	39.0	499.0	3.0	1.0	2	0.173283
2.587	7.12	0.701	90.0	41.0	168.0	3.0	1.0	6	0.1764818
9.196	7.979	0.746	99.0	23.0	696.0	3.0	1.0	0	0.18251420000000002
9.196	6.109	0.746	40.0	23.0	696.0	3.0	1.0	7	0.1955662
4.647	4.579	0.701	41.0	41.0	209.0	3.0	0.0	3	0.19784439999999998
4.279	4.872	0.701	90.0	41.0	88.0	3.0	1.0	4	0.20463559999999997
6.258	5.011	0.162	69.0	39.0	198.0	3.0	1.0	7	0.22291460000000002
4.737	4.735	0.651	71.0	36.0	665.0	3.0	1.0	2	0.2271328
4.647	4.579	0.459	90.0	41.0	343.0	3.0	1.0	4	0.23492079999999999
1.912	5.096	0.651	66.0	30.0	665.0	3.0	1.0	6	0.243487
1.32	7.948	0.986	25.0	16.0	99.0	3.0	0.0	7	0.24910800000000002
9.196	7.979	0.746	99.0	47.0	696.0	3.0	1.0	7	0.2854856
1.32	6.945	0.986	25.0	16.0	99.0	3.0	0.0	3	0.2979498
9.387	9.549	0.627	63.0	11.0	31.0	3.0	0.0	6	0.343931
5.812	1.899	0.807	66.0	30.0	338.0	3.0	1.0	7	0.37578619999999996
5.084	8.186	0.477	57.0	33.0	371.0	3.0	1.0	4	0.386864
1.32	6.945	0.986	21.0	16.0	183.0	3.0	0.0	6	0.4030634
4.737	4.735	0.651	71.0	27.0	665.0	3.0	1.0	6	0.45217799999999997
1.649	5.289	0.227	52.0	49.0	28.0	2.0	0.0	6	0.5835618
