p_c	p_m	N	c_0	Step_Found	VALUE
0.935	0.222	32.0	2.0	13	24.8
0.323	0.496	26.0	2.0	11	36.4
0.054	0.219	5.0	2.0	7	38.6
0.758	0.657	5.0	1.0	10	70.0
0.389	0.311	37.0	2.0	8	77.4
0.323	0.743	15.0	2.0	5	78.8
0.7	0.399	15.0	1.0	6	80.8
0.642	0.504	7.0	1.0	10	81.8
0.323	0.582	31.0	1.0	8	90.2
0.486	0.272	40.0	1.0	1	104.6
0.935	0.222	13.0	1.0	7	137.8
0.772	0.079	41.0	2.0	4	146.2
0.935	0.222	13.0	2.0	12	177.8
0.935	0.691	13.0	2.0	13	218.8
0.444	0.713	48.0	2.0	10	363.0
