p_c	p_m	N	c_0	Step_Found	VALUE
0.908	0.083	49.0	1.0	0	14.0
0.627	0.421	15.0	1.0	9	14.8
0.054	0.317	46.0	1.0	11	29.8
0.093	0.317	40.0	1.0	0	42.2
0.627	0.775	15.0	1.0	12	55.6
0.457	0.456	1.0	1.0	12	70.0
0.292	0.689	11.0	2.0	2	72.4
0.597	0.456	1.0	1.0	1	82.2
0.908	0.083	49.0	2.0	11	102.2
0.21	0.395	39.0	1.0	5	102.4
0.627	0.207	40.0	1.0	5	104.8
0.627	0.207	15.0	1.0	1	144.2
0.851	0.406	38.0	1.0	1	184.6
0.851	0.406	37.0	1.0	5	233.8
0.627	0.742	15.0	1.0	10	243.2
