p_c	p_m	N	c_0	Step_Found	VALUE
0.847	0.083	39.0	1.0	12	32.8
0.749	0.756	36.0	2.0	9	42.2
0.401	0.176	5.0	1.0	13	42.4
0.628	0.801	21.0	1.0	2	46.0
0.401	0.176	5.0	2.0	9	57.6
0.628	0.212	21.0	2.0	5	60.2
0.663	0.904	41.0	1.0	2	74.0
0.956	0.875	13.0	1.0	7	78.2
0.39	0.185	6.0	2.0	3	78.2
0.933	0.756	36.0	2.0	8	83.6
0.314	0.646	26.0	2.0	2	84.6
0.663	0.904	2.0	1.0	4	88.4
0.594	0.185	6.0	1.0	0	126.4
0.067	0.822	47.0	2.0	8	141.2
0.394	0.518	29.0	1.0	4	247.8
