p_c	p_m	N	c_0	Step_Found	VALUE
0.669	0.894	17.0	2.0	9	28.6
0.501	0.268	47.0	2.0	1	34.0
0.153	0.169	17.0	2.0	13	38.4
0.225	0.268	5.0	1.0	10	44.6
0.153	0.169	18.0	2.0	8	54.4
0.613	0.928	9.0	1.0	3	55.4
0.736	0.132	47.0	1.0	11	58.0
0.474	0.132	19.0	2.0	12	83.0
0.777	0.667	42.0	2.0	3	86.2
0.391	0.132	34.0	1.0	8	89.4
0.153	0.438	18.0	2.0	4	98.8
0.153	0.555	18.0	2.0	7	130.6
0.214	0.667	15.0	2.0	7	148.0
0.153	0.166	18.0	2.0	12	161.4
0.153	0.268	5.0	1.0	8	229.0
