p_c	p_m	N	c_0	Step_Found	VALUE
0.812	0.301	19.0	1.0	1	33.6
0.354	0.675	10.0	1.0	3	46.4
0.177	0.913	20.0	2.0	13	63.4
0.308	0.891	16.0	2.0	5	86.8
0.177	0.913	25.0	2.0	3	92.0
0.837	0.526	50.0	2.0	6	99.8
0.135	0.891	19.0	2.0	0	115.8
0.802	0.507	14.0	2.0	2	119.2
0.88	0.675	10.0	1.0	13	119.6
0.354	0.413	10.0	2.0	8	120.6
0.135	0.396	19.0	2.0	4	127.0
0.308	0.486	16.0	2.0	12	128.4
0.653	0.672	17.0	1.0	5	144.6
0.99	0.816	16.0	2.0	8	227.2
0.308	0.241	47.0	1.0	13	254.0
