alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.179	2.587	0.662	96.0	25.0	726.0	0.0	0.0	5	-0.0
1.179	7.176	0.662	60.0	32.0	237.0	3.0	0.0	3	-0.0
6.612	8.438	0.404	97.0	15.0	81.0	0.0	1.0	6	0.024387
1.664	8.041	0.532	71.0	10.0	301.0	1.0	1.0	4	0.039009
1.077	1.664	0.583	62.0	42.0	337.0	1.0	1.0	1	0.11262240000000001
2.479	7.176	0.662	60.0	32.0	237.0	3.0	1.0	7	0.1192444
6.612	8.438	0.969	97.0	15.0	81.0	0.0	1.0	3	0.12280339999999998
6.612	8.438	0.404	97.0	15.0	374.0	0.0	1.0	7	0.1332144
7.478	1.573	0.969	97.0	15.0	81.0	2.0	1.0	5	0.13327740000000002
6.171	6.842	0.371	57.0	37.0	23.0	1.0	0.0	6	0.13873220000000003
1.664	2.084	0.532	71.0	10.0	301.0	1.0	1.0	2	0.1515998
3.859	1.066	0.102	88.0	14.0	423.0	3.0	1.0	0	0.1595568
2.01	6.404	0.621	20.0	36.0	192.0	2.0	1.0	2	0.16787200000000002
1.664	6.578	0.532	71.0	10.0	301.0	1.0	1.0	7	0.17834660000000002
1.077	1.531	0.583	62.0	42.0	337.0	1.0	1.0	7	0.1959998
1.179	2.587	0.662	60.0	32.0	726.0	0.0	0.0	2	0.1996218
2.479	7.176	0.662	60.0	32.0	237.0	1.0	0.0	6	0.20039160000000003
1.077	1.664	0.583	62.0	42.0	337.0	2.0	1.0	2	0.20647739999999998
7.896	2.587	0.662	96.0	25.0	218.0	0.0	1.0	7	0.2172606
9.244	3.075	0.826	78.0	20.0	69.0	3.0	1.0	4	0.23108040000000002
2.823	5.416	0.447	81.0	46.0	535.0	1.0	1.0	4	0.2693988
1.311	3.29	0.606	72.0	19.0	480.0	1.0	0.0	1	0.2720294
6.171	5.43	0.431	20.0	34.0	23.0	1.0	0.0	4	0.31552959999999997
3.452	1.066	0.102	88.0	49.0	423.0	1.0	1.0	5	0.41629879999999997
5.088	5.43	0.431	20.0	34.0	186.0	1.0	0.0	5	0.48303139999999994
