alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
2.01	1.261	0.382	86.0	36.0	192.0	2.0	1.0	7	0.0065014
8.62	5.703	0.371	64.0	37.0	23.0	1.0	0.0	2	0.011791600000000001
1.623	5.015	0.349	33.0	41.0	99.0	1.0	0.0	3	0.048562
1.311	8.847	0.606	17.0	16.0	402.0	3.0	1.0	7	0.06381139999999999
2.458	4.65	0.394	54.0	31.0	397.0	0.0	1.0	6	0.0777864
5.363	9.628	0.161	62.0	23.0	349.0	1.0	0.0	7	0.0948142
1.601	1.323	0.447	54.0	46.0	216.0	1.0	1.0	2	0.10511979999999999
1.311	8.847	0.606	14.0	16.0	402.0	3.0	1.0	3	0.1144174
2.458	4.65	0.394	54.0	31.0	397.0	3.0	1.0	5	0.11943079999999999
2.458	4.65	0.351	44.0	31.0	630.0	3.0	1.0	2	0.1221946
2.458	8.843	0.549	89.0	31.0	630.0	3.0	1.0	7	0.1349926
1.601	1.323	0.447	54.0	49.0	86.0	0.0	1.0	6	0.14406239999999998
1.623	5.015	0.164	33.0	16.0	204.0	1.0	0.0	7	0.1454426
1.623	5.015	0.49	33.0	41.0	99.0	1.0	1.0	5	0.1799162
7.674	4.136	0.175	29.0	43.0	149.0	1.0	0.0	5	0.1875048
2.534	8.438	0.969	66.0	33.0	81.0	0.0	1.0	2	0.19125040000000001
6.383	8.383	0.397	88.0	19.0	670.0	3.0	1.0	1	0.22322199999999998
2.458	4.65	0.394	62.0	31.0	397.0	1.0	1.0	7	0.23085500000000003
1.623	5.015	0.219	33.0	16.0	99.0	1.0	1.0	6	0.23951000000000003
5.363	9.628	0.161	62.0	23.0	349.0	1.0	1.0	2	0.2455378
2.534	3.003	0.428	66.0	24.0	439.0	0.0	1.0	6	0.25869240000000004
2.458	4.65	0.394	54.0	19.0	397.0	0.0	1.0	7	0.2596282
2.01	1.261	0.686	86.0	36.0	192.0	2.0	1.0	6	0.2749102
2.01	1.261	0.686	20.0	36.0	192.0	0.0	1.0	7	0.279494
6.383	7.707	0.397	88.0	35.0	748.0	3.0	1.0	5	0.3240658
