alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
6.612	8.438	0.922	66.0	33.0	81.0	2.0	1.0	4	-0.0
2.458	8.45	0.256	44.0	20.0	630.0	3.0	1.0	6	0.0216772
3.911	8.005	0.429	78.0	26.0	57.0	0.0	1.0	4	0.06404779999999999
2.01	9.6	0.686	20.0	36.0	192.0	3.0	1.0	7	0.07683340000000001
6.802	9.628	0.161	48.0	23.0	349.0	1.0	1.0	7	0.08097939999999999
3.911	8.005	0.52	78.0	26.0	57.0	0.0	1.0	0	0.10331680000000001
1.41	2.587	0.662	60.0	32.0	726.0	2.0	0.0	3	0.10956239999999999
2.823	5.416	0.447	66.0	46.0	535.0	1.0	1.0	6	0.1099334
2.458	4.65	0.394	44.0	20.0	630.0	3.0	1.0	3	0.11938439999999999
3.859	3.948	0.102	88.0	28.0	423.0	0.0	1.0	4	0.1282832
2.01	9.6	0.686	20.0	36.0	192.0	2.0	1.0	2	0.1283668
6.612	8.438	0.476	63.0	33.0	81.0	2.0	1.0	7	0.135927
1.41	2.587	0.662	60.0	32.0	726.0	1.0	0.0	7	0.1532722
3.911	1.851	0.52	78.0	23.0	57.0	0.0	1.0	6	0.1540112
2.823	5.416	0.447	41.0	46.0	535.0	1.0	1.0	2	0.1738666
3.911	8.005	0.429	86.0	26.0	57.0	0.0	1.0	7	0.1758386
6.612	8.438	0.476	66.0	33.0	81.0	2.0	1.0	3	0.178233
2.318	9.628	0.161	62.0	23.0	349.0	1.0	1.0	2	0.1828158
3.911	8.005	0.52	78.0	23.0	57.0	0.0	1.0	1	0.21074479999999998
3.859	3.948	0.102	88.0	28.0	423.0	3.0	1.0	2	0.211987
6.96	8.005	0.52	78.0	38.0	690.0	0.0	1.0	5	0.26538
6.171	7.495	0.757	57.0	37.0	23.0	1.0	0.0	7	0.2664208
4.386	7.99	0.161	78.0	23.0	349.0	1.0	1.0	6	0.28310620000000003
6.171	7.495	0.371	57.0	37.0	23.0	1.0	0.0	0	0.315519
2.823	5.416	0.447	66.0	29.0	535.0	1.0	1.0	7	0.37248200000000004
